price,bed,bath,sqft,type,yearbuilt,heating,cooling,area,parking_spaces,parking1,parking2,parking3
950000.0,2.0,2.0,820.0,Single Family,1927.0,Forced air,Central,South Bay,3.0,,,
983893.0,3.0,,,Single Family,1955.0,Other,,South Bay,,Attached Garage,,
890962.0,4.0,1.0,950.0,Single Family,1932.0,Forced air,,South Bay,2.0,,,
1626995.0,5.0,5.0,2917.0,Single Family,,Forced air,Central,South Bay,2.0,,,
4850000.0,,,20037.6,,,,,South Bay,,,,
1593995.0,5.0,5.0,3005.0,Single Family,2020.0,,,South Bay,2.0,,,
958000.0,2.0,3.0,1487.0,Townhouse,1985.0,Forced air,,South Bay,,,,
1690995.0,4.0,4.0,2853.0,Single Family,,Forced air,Central,South Bay,2.0,,,
1588000.0,2.0,,,Multi Family,1924.0,Other,,South Bay,,Carport,Off street,On street
999950.0,3.0,2.0,1232.0,Single Family,1932.0,Forced air,,South Bay,,Attached Garage,,
914682.0,2.0,,,Single Family,1947.0,Other,,South Bay,,Attached Garage,,
1778995.0,4.0,4.0,3028.0,Single Family,,Forced air,Central,South Bay,2.0,,,
749950.0,2.0,1.0,1180.0,Single Family,1931.0,Other,,South Bay,,Attached Garage,,
1580995.0,5.0,5.0,2917.0,Single Family,2020.0,,,South Bay,2.0,,,
1625995.0,5.0,5.0,3071.0,Single Family,,Forced air,Central,South Bay,2.0,,,
1069000.0,4.0,,,Single Family,1959.0,Forced air,,South Bay,,Attached Garage,,
1627995.0,4.0,4.0,3028.0,Single Family,2020.0,,,South Bay,2.0,,,
1700000.0,,,146361.6,,,,,South Bay,,,,
1593995.0,5.0,5.0,3005.0,Single Family,2020.0,,,South Bay,2.0,,,
494000.0,,,2861.0,,,,,South Bay,,,,
1466627.0,5.0,,,Single Family,2001.0,Other,,South Bay,,Attached Garage,,
1054452.0,3.0,,,Single Family,1976.0,Other,,South Bay,,Attached Garage,,
1603995.0,4.0,4.0,2853.0,Single Family,2020.0,,,South Bay,2.0,,,
1297203.0,4.0,,,Single Family,1998.0,,,South Bay,,,,
1200000.0,3.0,2.0,1520.0,Single Family,1954.0,Other,,South Bay,,Attached Garage,,
957320.0,3.0,,,Condo,1989.0,,,South Bay,,Carport,,
698000.0,2.0,2.0,1158.0,Condo,1986.0,Forced air,,South Bay,,Attached Garage,,
1016410.0,4.0,,,Single Family,1930.0,Other,,South Bay,,Attached Garage,,
999998.0,4.0,,,Single Family,1990.0,Forced air,Central,South Bay,2.0,,,
947028.0,3.0,,,Single Family,1945.0,Forced air,Other,South Bay,,Attached Garage,,
1154910.0,3.0,,,Single Family,1990.0,Other,,South Bay,,Attached Garage,,
959000.0,2.0,,,Single Family,1947.0,Forced air,Central,South Bay,,Attached Garage,,
1102022.0,3.0,,,Single Family,1966.0,Other,,South Bay,,Attached Garage,,
1627995.0,4.0,4.0,3028.0,Single Family,2020.0,,,South Bay,2.0,,,
1580995.0,5.0,5.0,2917.0,Single Family,2020.0,,,South Bay,2.0,,,
1269888.0,,,,Multi Family,1930.0,,,South Bay,,,,
1301246.0,4.0,,,Single Family,1993.0,Other,,South Bay,,Attached Garage,,
1288000.0,5.0,,,Single Family,1958.0,Forced air,,South Bay,1.0,,,
378000.0,,1.0,495.0,Condo,1974.0,Forced air,,South Bay,,Attached Garage,,
699000.0,3.0,2.0,1242.0,Condo,1975.0,Forced air,,South Bay,,,,
1185393.0,2.0,,,Single Family,1953.0,Other,,South Bay,,Attached Garage,,
649950.0,2.0,2.0,1048.0,Condo,1974.0,Other,,South Bay,,Carport,Attached Garage,
967984.0,3.0,,,Single Family,1971.0,Other,,South Bay,,Attached Garage,,
1368000.0,4.0,3.0,2140.0,Single Family,1959.0,Forced air,,South Bay,,Attached Garage,,
999737.0,3.0,2.0,1270.0,Single Family,1959.0,Other,,South Bay,,Attached Garage,,
1157687.0,3.0,,,Single Family,1973.0,Other,,South Bay,,Attached Garage,,
998000.0,3.0,2.0,1090.0,Single Family,1956.0,Forced air,,South Bay,,Attached Garage,,
528000.0,1.0,,,Condo,1974.0,,,South Bay,,Attached Garage,,
1129539.0,3.0,,,Single Family,1954.0,Other,,South Bay,,Attached Garage,,
935826.0,3.0,,,Single Family,1946.0,Forced air,,South Bay,1.0,,,
1088000.0,4.0,3.0,1920.0,Single Family,1961.0,Forced air,,South Bay,4.0,,,
398000.0,,,,Condo,1974.0,,,South Bay,,,,
1458000.0,4.0,3.0,2900.0,Single Family,1962.0,Forced air,,South Bay,,Attached Garage,,
998000.0,3.0,2.0,1370.0,Single Family,1962.0,Forced air,,South Bay,,Attached Garage,,
745000.0,2.0,,,Condo,1975.0,,Other,South Bay,,Attached Garage,,
977658.0,3.0,,,Single Family,1949.0,,,South Bay,,Attached Garage,,
630000.0,2.0,2.0,1065.0,Condo,1974.0,,Other,South Bay,,Attached Garage,,
549888.0,2.0,1.0,817.0,Condo,1974.0,Forced air,,South Bay,,,,
987352.0,3.0,,,Single Family,1955.0,Other,,South Bay,,Attached Garage,,
914224.0,3.0,,,Condo,1979.0,,,South Bay,,,,
1150658.0,3.0,,,Single Family,1959.0,Other,,South Bay,,Attached Garage,,
999888.0,3.0,1.0,1120.0,Single Family,1955.0,Other,,South Bay,1.0,,,
942417.0,3.0,,,Single Family,1959.0,Other,,South Bay,,Attached Garage,,
1137079.0,3.0,,,Single Family,1959.0,Other,,South Bay,,Attached Garage,,
988536.0,3.0,,,Single Family,1968.0,Other,,South Bay,,Attached Garage,,
1208888.0,3.0,2.0,1390.0,Single Family,1955.0,Forced air,,South Bay,,Attached Garage,,
919000.0,3.0,2.0,1160.0,Single Family,1973.0,Forced air,,South Bay,1.0,,,
418888.0,,1.0,495.0,Condo,1974.0,,,South Bay,,Carport,,
998000.0,4.0,3.0,2077.0,Single Family,1973.0,Forced air,,South Bay,,Attached Garage,,
1350818.0,4.0,3.0,2800.0,Single Family,1957.0,Other,Central,South Bay,2.0,,,
929859.0,3.0,,,Single Family,1948.0,,,South Bay,,Attached Garage,,
1150000.0,2.0,1.0,1080.0,Single Family,1953.0,Forced air,,South Bay,2.0,,,
488000.0,1.0,,,Condo,1974.0,Forced air,Other,South Bay,,Attached Garage,,
3958000.0,4.0,3.0,2960.0,Single Family,1997.0,Forced air,Central,South Bay,,Attached Garage,,
3400000.0,4.0,3.0,2090.0,Single Family,1962.0,Forced air,Central,South Bay,,Attached Garage,,
2125000.0,5.0,4.0,3660.0,Multi Family,1978.0,Forced air,,South Bay,2.0,,,
2498000.0,4.0,4.0,1840.0,Single Family,2008.0,Forced air,Central,South Bay,,Attached Garage,,
1468000.0,2.0,2.0,1844.0,Condo,1978.0,Other,,South Bay,,Carport,,
1098000.0,2.0,2.0,1199.0,Condo,1975.0,Forced air,,South Bay,,,,
4695000.0,4.0,5.0,3700.0,Single Family,2012.0,Forced air,Central,South Bay,,Attached Garage,,
1999000.0,3.0,2.0,2459.0,Single Family,1925.0,Forced air,,South Bay,1.0,,,
3479800.0,4.0,4.0,2776.0,Single Family,1964.0,Forced air,Central,South Bay,2.0,,,
3988000.0,5.0,3.0,2790.0,Single Family,1952.0,Other,,South Bay,1.0,,,
2456815.0,3.0,,,Single Family,1934.0,Forced air,,South Bay,1.0,,,
1199000.0,3.0,2.0,1080.0,Single Family,1947.0,Forced air,,South Bay,,Attached Garage,,
1949956.0,3.0,3.0,2330.0,Townhouse,1975.0,Forced air,Central,South Bay,,Attached Garage,,
1945000.0,3.0,3.0,2070.0,Townhouse,1975.0,Forced air,Central,South Bay,,Attached Garage,,
1588000.0,3.0,3.0,2030.0,Townhouse,1971.0,Forced air,,South Bay,,Attached Garage,,
1488000.0,3.0,2.0,1100.0,Single Family,1956.0,Forced air,,South Bay,,Attached Garage,,
5388000.0,5.0,5.0,4170.0,Single Family,1992.0,Forced air,Central,South Bay,,Attached Garage,,
2198000.0,3.0,,,Single Family,1948.0,Forced air,Central,South Bay,,Carport,Detached Garage,
3550000.0,4.0,5.0,3719.0,Single Family,1970.0,Forced air,,South Bay,,Detached Garage,,
3095000.0,,,16988.398,,,,,South Bay,,,,
3595000.0,3.0,3.0,2620.0,Single Family,1948.0,Forced air,Central,South Bay,,Attached Garage,,
1749000.0,3.0,2.0,1600.0,Townhouse,1970.0,Forced air,Central,South Bay,2.0,,,
5600000.0,5.0,3.0,3300.0,Single Family,1981.0,Forced air,,South Bay,,Attached Garage,,
895000.0,2.0,2.0,960.0,Condo,1978.0,Other,,South Bay,,Carport,,
1988000.0,2.0,3.0,2120.0,Townhouse,1971.0,Forced air,Central,South Bay,2.0,,,
6788000.0,6.0,5.0,5088.0,Single Family,2003.0,Forced air,Central,South Bay,2.0,,,
3988888.0,,,,Multi Family,1956.0,Forced air,,South Bay,,Carport,,
5895000.0,5.0,3.0,3693.0,Single Family,1948.0,Forced air,Central,South Bay,2.0,,,
1072719.0,3.0,,,Single Family,1953.0,,,South Bay,,Carport,,
5798000.0,6.0,7.0,5430.0,Single Family,1999.0,Forced air,Central,South Bay,,Attached Garage,,
1698000.0,2.0,2.0,1860.0,Condo,1978.0,Forced air,,South Bay,2.0,,,
2598000.0,4.0,3.0,2181.0,Single Family,2018.0,Forced air,Central,South Bay,2.0,,,
1304825.0,3.0,1.0,1310.0,Single Family,1954.0,,,South Bay,,Carport,,
1159022.0,3.0,,,Single Family,1952.0,,,South Bay,,Attached Garage,,
2295000.0,3.0,3.0,2700.0,Townhouse,1986.0,Forced air,,South Bay,,Attached Garage,,
1174251.0,1.0,,,Single Family,1951.0,Other,,South Bay,,Attached Garage,,
1985000.0,3.0,3.0,2290.0,Townhouse,1974.0,Forced air,Central,South Bay,,Attached Garage,,
1105476.0,3.0,,,Single Family,1952.0,,,South Bay,,Carport,,
3800000.0,4.0,3.0,1640.0,Single Family,1950.0,Other,,South Bay,,Attached Garage,,
1750000.0,4.0,3.0,2270.0,Single Family,2016.0,Forced air,Central,South Bay,,Attached Garage,,
3995000.0,4.0,5.0,4500.0,Single Family,1975.0,Forced air,Central,South Bay,,Attached Garage,,
2488000.0,4.0,2.0,2020.0,Single Family,1921.0,Forced air,Central,South Bay,1.0,,,
3795000.0,4.0,6.0,4300.0,Single Family,1948.0,Forced air,,South Bay,,Attached Garage,,
1298000.0,2.0,2.0,1200.0,Condo,1968.0,Forced air,Central,South Bay,1.0,,,
2998000.0,3.0,3.0,2300.0,Single Family,2008.0,Forced air,Central,South Bay,,Attached Garage,,
2850000.0,3.0,2.0,1843.0,Single Family,1952.0,Other,,South Bay,,Detached Garage,,
2195000.0,3.0,1.0,980.0,Single Family,1955.0,Other,,South Bay,,Detached Garage,,
2169569.0,3.0,,,Single Family,1951.0,,,South Bay,,Attached Garage,,
4988800.0,4.0,3.0,2420.0,Single Family,1952.0,Forced air,,South Bay,,Attached Garage,,
4380000.0,4.0,3.0,3419.0,Single Family,1974.0,Forced air,Central,South Bay,,Attached Garage,,
7500000.0,4.0,5.0,5800.0,Single Family,1995.0,Forced air,Central,South Bay,,Attached Garage,,
10495000.0,5.0,7.0,6535.0,Single Family,1999.0,Forced air,Central,South Bay,,Attached Garage,,
2500000.0,4.0,4.0,2727.0,Single Family,1957.0,Forced air,Central,South Bay,,Attached Garage,,
20000000.0,8.0,11.0,12783.0,Single Family,1918.0,Other,Central,South Bay,3.0,,,
14988000.0,3.0,4.0,3520.0,Single Family,1921.0,Forced air,,South Bay,,Attached Garage,,
10380000.0,5.0,6.0,5076.0,Single Family,1989.0,Forced air,Central,South Bay,,Attached Garage,,
12990000.0,8.0,12.0,14685.0,Single Family,2005.0,Forced air,Central,South Bay,8.0,,,
10416619.0,5.0,,,Single Family,1998.0,Other,,South Bay,,Detached Garage,,
8098000.0,5.0,7.0,4891.0,Single Family,2019.0,Forced air,Central,South Bay,,Detached Garage,,
5000000.0,5.0,4.0,4075.0,Single Family,1939.0,Forced air,,South Bay,,Attached Garage,,
9746778.0,7.0,,,Single Family,2010.0,Other,Central,South Bay,3.0,,,
16980000.0,,,111513.59,,,,,South Bay,,,,
6500000.0,3.0,3.0,2820.0,Single Family,1954.0,Forced air,,South Bay,,Attached Garage,,
5295000.0,3.0,3.0,2345.0,Single Family,1941.0,Forced air,,South Bay,,Carport,,
6200000.0,3.0,3.0,3322.0,Single Family,1951.0,Forced air,Central,South Bay,2.0,,,
10250000.0,6.0,9.0,7845.0,Single Family,2019.0,Forced air,Central,South Bay,,Attached Garage,,
16800000.0,7.0,8.0,11300.0,Single Family,1995.0,Forced air,Central,South Bay,30.0,,,
2499000.0,3.0,2.0,1550.0,Single Family,1936.0,Forced air,Central,South Bay,2.0,,,
11526654.0,6.0,7.0,7400.0,Single Family,1993.0,Other,Central,South Bay,3.0,,,
7900000.0,5.0,5.0,4430.0,Single Family,1936.0,Forced air,Central,South Bay,,Attached Garage,,
13988000.0,6.0,7.0,5576.0,Single Family,1949.0,Forced air,Central,South Bay,,Attached Garage,,
6280000.0,3.0,3.0,2670.0,Single Family,1956.0,Forced air,,South Bay,2.0,,,
27000000.0,6.0,10.0,12189.0,Single Family,2018.0,Forced air,Central,South Bay,6.0,,,
7480000.0,4.0,3.0,2965.0,Single Family,1951.0,Forced air,,South Bay,,Attached Garage,,
12900000.0,6.0,10.0,9786.0,Single Family,2018.0,Forced air,Central,South Bay,2.0,,,
8500000.0,5.0,5.0,3790.0,Single Family,1930.0,Forced air,,South Bay,2.0,,,
1890000.0,6.0,6.0,2030.0,Single Family,1949.0,Forced air,Central,South Bay,2.0,,,
1625000.0,3.0,2.0,1370.0,Single Family,1956.0,Forced air,,South Bay,2.0,,,
1752432.0,4.0,,,Single Family,1964.0,Other,,South Bay,,Attached Garage,,
1088000.0,2.0,2.0,1147.0,Condo,2009.0,Forced air,Central,South Bay,2.0,,,
3537449.0,5.0,4.0,4280.0,Single Family,1988.0,Forced air,,South Bay,3.0,,,
1599000.0,3.0,2.0,1480.0,Single Family,1948.0,Forced air,,South Bay,,Attached Garage,,
698000.0,2.0,2.0,926.0,Condo,1980.0,Forced air,,South Bay,,Attached Garage,,
2499000.0,4.0,4.0,3157.0,Single Family,2007.0,Forced air,,South Bay,2.0,,,
1660378.0,4.0,,,Single Family,1955.0,Other,,South Bay,,Attached Garage,,
1749000.0,4.0,2.0,2000.0,Single Family,1948.0,Forced air,,South Bay,2.0,,,
9329176.0,,,52707.6,,,,,South Bay,,,,
13988000.0,4.0,6.0,10969.0,Single Family,1985.0,Forced air,Central,South Bay,,Detached Garage,,
1450000.0,3.0,2.0,1520.0,Single Family,1949.0,Forced air,Central,South Bay,4.0,,,
5998000.0,4.0,4.0,4595.0,Single Family,2019.0,Forced air,Central,South Bay,2.0,,,
4590828.0,4.0,5.0,4490.0,Single Family,1960.0,Forced air,,South Bay,7.0,,,
3798000.0,4.0,5.0,3972.0,Single Family,2019.0,Forced air,Other,South Bay,,Attached Garage,,
2195000.0,4.0,3.0,2070.0,Single Family,1959.0,Forced air,,South Bay,,Attached Garage,,
1850000.0,3.0,2.0,1776.0,Single Family,1930.0,Forced air,Central,South Bay,2.0,,,
1299000.0,3.0,2.0,1600.0,Single Family,1928.0,Forced air,,South Bay,,Detached Garage,,
2599000.0,5.0,4.0,2970.0,Single Family,1974.0,Forced air,,South Bay,,Attached Garage,,
1588505.0,2.0,,,Single Family,1927.0,Other,,South Bay,,Attached Garage,,
1757607.0,3.0,2.0,1530.0,Single Family,1961.0,Other,Central,South Bay,,Attached Garage,,
2195000.0,3.0,3.0,2040.0,Single Family,1977.0,Forced air,Central,South Bay,,Attached Garage,,
1882888.0,,,51400.797,,,,,South Bay,,,,
1098000.0,2.0,1.0,750.0,Single Family,1926.0,Other,,South Bay,,Detached Garage,,
7495000.0,5.0,5.0,3744.0,Single Family,2008.0,Forced air,Central,South Bay,,Attached Garage,,
3295000.0,4.0,4.0,3700.0,Single Family,2004.0,Forced air,Central,South Bay,2.0,,,
1450000.0,3.0,2.0,1520.0,Single Family,1949.0,Forced air,,South Bay,,Detached Garage,,
1450000.0,,,159429.61,,,,,South Bay,,,,
3795000.0,3.0,2.0,2585.0,Single Family,1928.0,Forced air,Central,South Bay,,Attached Garage,,
8900000.0,6.0,6.0,8240.0,Single Family,1988.0,Forced air,Central,South Bay,,Attached Garage,,
3495000.0,3.0,4.0,2570.0,Single Family,1947.0,Forced air,Central,South Bay,2.0,,,
1413593.0,3.0,,,Single Family,1931.0,Other,,South Bay,,Detached Garage,,
9500000.0,4.0,3.0,3140.0,Single Family,1949.0,Forced air,Central,South Bay,2.0,,,
5988000.0,6.0,6.0,7022.0,Single Family,2005.0,Other,Central,South Bay,2.0,,,
1650000.0,3.0,3.0,2880.0,Single Family,1991.0,Other,,South Bay,,Attached Garage,,
495000.0,,,7405.0,,,,,South Bay,,,,
4998000.0,2.0,3.0,2480.0,Single Family,1986.0,Forced air,,South Bay,6.0,,,
1800000.0,2.0,1.0,830.0,Single Family,1927.0,,,South Bay,,Off street,Detached Garage,
12800000.0,5.0,7.0,10440.0,Single Family,1988.0,Forced air,Central,South Bay,,Attached Garage,,
23000000.0,6.0,8.0,10551.0,Single Family,2003.0,Other,Central,South Bay,6.0,,,
499000.0,,,10890.0,,,,,South Bay,,,,
1528000.0,2.0,3.0,2040.0,Single Family,1985.0,,,South Bay,,,,
3450000.0,4.0,2.0,2486.0,Single Family,1952.0,Forced air,Central,South Bay,2.0,,,
6750000.0,4.0,4.0,4370.0,Single Family,1973.0,Forced air,Central,South Bay,3.0,,,
1298000.0,3.0,3.0,1200.0,Single Family,1924.0,Forced air,,South Bay,,Attached Garage,,
17500000.0,,,3920400.0,,,,,South Bay,,,,
4795000.0,3.0,3.0,2350.0,Single Family,1949.0,Forced air,,South Bay,6.0,,,
2749000.0,3.0,2.0,1620.0,Single Family,1958.0,Forced air,Central,South Bay,,Attached Garage,,
2995000.0,4.0,4.0,2330.0,Single Family,1972.0,Forced air,,South Bay,,Attached Garage,,
1598000.0,3.0,2.0,1490.0,Single Family,1947.0,,Central,South Bay,,Attached Garage,,
28000000.0,3.0,5.0,7960.0,Single Family,2006.0,Forced air,Central,South Bay,,Detached Garage,,
6385000.0,,,145490.39,,,,,South Bay,,,,
1849000.0,2.0,3.0,2060.0,Single Family,1949.0,Forced air,Central,South Bay,3.0,,,
6785000.0,,,169448.4,,,,,South Bay,,,,
1722235.0,3.0,2.0,2000.0,Single Family,1955.0,Forced air,Central,South Bay,2.0,,,
3338000.0,4.0,4.0,3026.0,Single Family,2009.0,Forced air,Other,South Bay,2.0,,,
3798000.0,7.0,8.0,5329.0,Single Family,1990.0,Forced air,,South Bay,5.0,,,
1395000.0,2.0,2.0,1330.0,Single Family,1931.0,Forced air,,South Bay,,Detached Garage,,
12500000.0,7.0,7.0,6670.0,Single Family,1941.0,Other,,South Bay,2.0,,,
2399000.0,3.0,3.0,2890.0,Single Family,1989.0,Forced air,,South Bay,,Attached Garage,,
3195000.0,,,184258.8,,,,,South Bay,,,,
19500000.0,5.0,6.0,9345.0,Single Family,1998.0,Forced air,Central,South Bay,,Attached Garage,,
24500000.0,4.0,5.0,8082.0,Single Family,1928.0,Other,,South Bay,,Detached Garage,,
1800000.0,,,11761.2,,,,,South Bay,,,,
1049720.0,2.0,,,Single Family,1950.0,,,South Bay,,Attached Garage,,
1161788.0,4.0,,,Single Family,1885.0,,,South Bay,,Attached Garage,,
259000.0,2.0,2.0,960.0,Miscellaneous,1991.0,Forced air,,South Bay,,,,
1087553.0,2.0,,,Single Family,1946.0,,,South Bay,,Attached Garage,,
1198000.0,2.0,3.0,1428.0,Condo,2012.0,Forced air,Central,South Bay,2.0,,,
899999.0,3.0,2.0,1110.0,Single Family,1948.0,Other,,South Bay,,Attached Garage,,
1117501.0,2.0,,,Single Family,1949.0,Other,,South Bay,,Attached Garage,,
1410000.0,3.0,2.0,1570.0,Single Family,1947.0,Other,Central,South Bay,1.0,,,
1999000.0,8.0,3.0,2700.0,Single Family,1900.0,Forced air,Other,South Bay,2.0,,,
1019000.0,3.0,1.0,1140.0,Single Family,1947.0,,Other,South Bay,1.0,,,
165000.0,1.0,1.0,500.0,Miscellaneous,1961.0,,,South Bay,,,,
275000.0,3.0,2.0,1160.0,Miscellaneous,2001.0,Forced air,Central,South Bay,,,,
1171952.0,3.0,,,Single Family,1947.0,,,South Bay,,Attached Garage,,
1680000.0,,,,Multi Family,1950.0,Forced air,,South Bay,,Carport,,
1145343.0,2.0,,,Single Family,1942.0,,,South Bay,,Attached Garage,,
1384850.0,3.0,,,Single Family,1973.0,,,South Bay,,Attached Garage,,
1650010.0,4.0,3.0,1854.0,Single Family,1948.0,Forced air,Central,South Bay,1.0,,,
299900.0,3.0,2.0,1306.0,Miscellaneous,2008.0,Forced air,Central,South Bay,,Carport,,
1812347.0,4.0,,,Single Family,1950.0,Other,,South Bay,,Attached Garage,,
917948.0,3.0,,,Single Family,1940.0,,,South Bay,,Attached Garage,,
765133.0,2.0,,,Single Family,1925.0,,,South Bay,,Attached Garage,,
1386233.0,4.0,3.0,1770.0,Townhouse,1944.0,,,South Bay,1.0,,,
1998000.0,,,7235.0,,,,,South Bay,,,,
1300000.0,,,,Multi Family,1920.0,Forced air,,South Bay,,,,
1590000.0,3.0,,,Single Family,2019.0,Forced air,Central,South Bay,,Attached Garage,,
1374576.0,4.0,,,Single Family,1912.0,Other,,South Bay,,Attached Garage,,
865000.0,,,,Multi Family,1959.0,Other,,South Bay,,Attached Garage,,
