price,bed,bath,sqft,type,yearbuilt,parking,heating,cooling,area
"$932,058",3,null,null,Single Family,1967,Attached Garage,No Data,No Data,East Bay
"$799,000",3,3,"1,284",Condo,1988,Detached Garage,No Data,No Data,East Bay
"$941,332",3,3,"1,774",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$539,900",2,2,990,Condo,1987,2 spaces,Forced air,None,East Bay
"$600,000",2,1,"1,080",Single Family,1972,Carport,Forced air,Central,East Bay
"$941,332",3,3,"1,774",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$838,000",3,3,"1,298",Townhouse,1986,2 spaces,Forced air,None,East Bay
"$618,713",2,1,748,Single Family,1905,Detached Garage,No Data,None,East Bay
"$990,000",3,3,"1,762",Single Family,1961,2 spaces,Forced air,No Data,East Bay
"$3,800,000",221.49 acres,null,null,null,null,null,null,null,East Bay
"$1,499,800",5,4,"3,152",Single Family,1990,2 spaces,Forced air,Central,East Bay
"$1,200,000",3,2,"1,648",Single Family,1963,Attached Garage,Forced air,Other,East Bay
"$125,000",2,1,760,Mobile / Manufactured,1970,2 spaces,Forced air,Central,East Bay
"$899,000",3,null,null,Condo,2007,Attached Garage,Forced air,Central,East Bay
null,2,null,null,Condo,1987,No Data,No Data,No Data,East Bay
"$156,000",2,2,"1,344",Mobile / Manufactured,No Data,No Data,No Data,No Data,East Bay
"$1,149,888",3,2,"1,251",Single Family,1959,2 spaces,Forced air,Central,East Bay
"$198,000",2,2,"1,344",Mobile / Manufactured,1969,No Data,No Data,No Data,East Bay
"$860,981",3,3,"1,436",Townhouse,No Data,1 space,No Data,Townhouse,East Bay
"$749,888",2,3,"1,213",Townhouse,1983,2 spaces,Forced air,Central,East Bay
"$379,000",3 acres,null,null,null,null,null,null,null,East Bay
"$1,718,000",--,null,null,Multi Family,1963,Carport,Forced air,None,East Bay
"$690,036",2,null,null,Condo,1987,No Data,No Data,No Data,East Bay
"$680,265",2,null,null,Single Family,1964,Detached Garage,No Data,No Data,East Bay
"$713,815",2,1,"1,036",Single Family,1904,Carport,No Data,None,East Bay
"$436,178",2,null,null,Condo,1986,Detached Garage,No Data,No Data,East Bay
"$950,000",3,3,"1,236",Single Family,1981,2 spaces,Forced air,Central,East Bay
"$984,990",3,3,"1,652",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$975,000",4,3,"1,872",Single Family,1960,2 spaces,Forced air,None,East Bay
"$975,000",3,2,"1,403",Single Family,1925,Carport,Forced air,Central,East Bay
"$1,149,000",3,3,"2,200",Single Family,1900,"Off street, On street",Forced air,No Data,East Bay
"$941,332",3,3,"1,774",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$1,049,880",4,4,"1,849",Townhouse,2020,2 spaces,Forced air,Townhouse,East Bay
"$629,888",2,2,840,Condo,1988,1 space,Forced air,No Data,East Bay
"$630,000",3,2,"1,166",Townhouse,1971,Carport,Forced air,No Data,East Bay
"$1,599,000",6,4,"3,128",Single Family,1985,2 spaces,Forced air,Central,East Bay
"$678,800",2,2,"1,168",Condo,1989,1 space,Forced air,Central,East Bay
"$1,049,061",4,3,"1,586",Single Family,1960,2 spaces,Other,Central,East Bay
"$858,880",2,3,"1,283",Townhouse,2020,2 spaces,Forced air,Townhouse,East Bay
"$1,159,000",3,2,"1,526",Single Family,1958,Attached Garage,Forced air,None,East Bay
"$941,332",3,3,"1,774",Townhouse,No Data,2 spaces,No Data,Townhouse,East Bay
"$1,074,356",4,null,null,Single Family,1965,Detached Garage,No Data,No Data,East Bay
"$861,833",3,null,null,Single Family,1956,Detached Garage,No Data,No Data,East Bay
"$899,990",3,3,"1,774",Townhouse,No Data,2 spaces,No Data,Townhouse,East Bay
"$356,693",1,null,null,Condo,1986,Detached Garage,No Data,No Data,East Bay
"$949,800",2,1.5,"1,296",Single Family,1988,2 spaces,Forced air,None,East Bay
"$584,800",2,2,840,Condo,1988,Detached Garage,No Data,No Data,East Bay
"$1,125,571",3,null,null,Single Family,1959,Detached Garage,No Data,No Data,East Bay
"$1,011,956",3,null,null,Single Family,1993,Detached Garage,No Data,No Data,East Bay
"$941,332",3,3,"1,774",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$1,084,537",3,null,null,Single Family,1964,Detached Garage,No Data,No Data,East Bay
"$1,649,888",4,3,"2,591",Single Family,2001,2 spaces,Forced air,Central,East Bay
"$846,056",3,null,null,Single Family,1953,Detached Garage,No Data,No Data,East Bay
"$749,000",2,3,"1,210",Condo,2015,No Data,Forced air,Central,East Bay
"$499,999",3,2,"1,101",Condo,1974,Carport,Electric,Wall,East Bay
"$899,000",3,3,"1,668",Townhouse,2005,2 spaces,Forced air,No Data,East Bay
"$1,278,117",4,null,null,Single Family,1991,Detached Garage,No Data,No Data,East Bay
"$519,900",2,2,988,Condo,1984,Carport,Forced air,None,East Bay
"$941,332",3,3,"1,774",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$734,367",2,1,766,Single Family,1953,Detached Garage,No Data,No Data,East Bay
"$907,425",3,3,"1,441",Townhouse,2020,1 space,No Data,Townhouse,East Bay
"$699,000",2,2,"1,178",Condo,2000,1 space,Forced air,Central,East Bay
"$828,880",2,3,"1,226",Townhouse,2020,2 spaces,Forced air,Townhouse,East Bay
"$1,106,879",3,null,null,Single Family,1964,2 spaces,Forced air,Central,East Bay
"$949,000",3,2,"1,360",Single Family,1960,2 spaces,Forced air,Central,East Bay
"$539,475",2,null,null,Townhouse,1980,No Data,No Data,No Data,East Bay
"$1,099,888",3,2,"1,776",Single Family,1963,2 spaces,Forced air,Central,East Bay
"$799,000",2,3,"1,174",Single Family,1999,"On street, Attached Garage",Forced air,"Central, Other",East Bay
"$1,032,547",4,2,"1,515",Single Family,1958,Attached Garage,Forced air,No Data,East Bay
"$599,000",2,2,"1,042",Condo,1972,1 space,Forced air,Central,East Bay
"$955,164",3,2,"1,479",Condo,2020,2 spaces,No Data,Condo,East Bay
"$980,911",3,2,"1,528",Condo,2020,2 spaces,No Data,Condo,East Bay
"$2,000,000",--,null,null,Multi Family,1945,3 spaces,Forced air,Other,East Bay
"$684,800",2,2,850,Condo,1994,1 space,Forced air,Central,East Bay
"$824,880",2,3,"1,326",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$893,880",2,3,"1,432",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$948,000",3,4,"1,411",Townhouse,2020,2 spaces,Forced air,Townhouse,East Bay
"$305,000",3,2,"1,560",Mobile / Manufactured,2001,2 spaces,Forced air,No Data,East Bay
"$948,827",--,null,null,Single Family,1963,Detached Garage,No Data,No Data,East Bay
"$991,880",3,3,"1,786",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$1,128,000",3,3,"1,422",Single Family,1994,Attached Garage,Forced air,Central,East Bay
"$904,000",2,3,"1,502",Townhouse,No Data,No Data,No Data,Townhouse,East Bay
"$1,099,800",3,2,"1,360",Single Family,1957,Attached Garage,Forced air,"Central, Solar",East Bay
"$759,999",2,2,"1,244",Condo,2009,2 spaces,Forced air,Central,East Bay
"$928,888",3,2,"1,096",Single Family,1963,2 spaces,Forced air,Other,East Bay
"$1,399,950",3,3,"1,375",Single Family,1987,Attached Garage,"Forced air, Radiant",Central,East Bay
"$1,618,183",5,5,"3,356",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$890,748",2,2,"1,279",Condo,2020,1 space,No Data,Condo,East Bay
"$638,888",2,2,"1,336",Condo,1974,1 space,Electric,Wall,East Bay
"$996,803",3,2,"1,504",Condo,2020,2 spaces,No Data,Condo,East Bay
"$775,000",4,1,"1,325",Single Family,1954,1 space,Forced air,None,East Bay
"$1,299,950",3,2,"1,720",Single Family,1955,Attached Garage,Forced air,Central,East Bay
"$871,990",2,3,"1,439",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$1,236,707",3,null,null,Single Family,1958,Detached Garage,No Data,No Data,East Bay
"$950,000",3,2,"1,153",Single Family,1963,2 spaces,Forced air,Central,East Bay
"$1,073,880",3,3,"2,181",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$1,120,000",4,4,"1,746",Townhouse,2010,2 spaces,Forced air,Central,East Bay
"$1,062,565",3,3,"1,701",Condo,2020,2 spaces,No Data,Condo,East Bay
"$888,888",3,2,"1,000",Single Family,1955,2 spaces,Forced air,Central,East Bay
"$2,105,122",12,null,null,Single Family,1991,No Data,No Data,No Data,East Bay
"$813,880",2,3,"1,273",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$439,000",1,1,693,Condo,1987,1 space,Radiant,None,East Bay
"$1,016,990",3,4,"2,084",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$1,164,880",4,4,"2,268",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$886,164",4,null,null,Single Family,1963,Detached Garage,No Data,No Data,East Bay
"$499,000",2,1,857,Condo,1990,1 space,Baseboard,Wall,East Bay
"$1,035,000",3,2,"1,528",Condo,2019,Attached Garage,Forced air,Central,East Bay
"$893,123",2,2,"1,279",Condo,2020,1 space,No Data,Condo,East Bay
"$798,000",2,2,"1,201",Condo,2020,1 space,No Data,Condo,East Bay
"$1,159,880",4,4,"2,221",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$940,940",3,null,null,Single Family,1961,Detached Garage,No Data,No Data,East Bay
"$844,651",3,null,null,Condo,1994,Detached Garage,No Data,No Data,East Bay
"$946,406",3,2,"1,523",Condo,2020,2 spaces,No Data,Condo,East Bay
"$949,800",3,2,"1,580",Single Family,1960,2 spaces,No Data,No Data,East Bay
"$1,073,880",3,3,"2,176",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$899,880",2,3,"1,502",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$929,800",3,2,"1,158",Single Family,1959,Detached Garage,No Data,No Data,East Bay
"$1,030,996",3,3,"1,712",Condo,2020,2 spaces,No Data,Condo,East Bay
"$855,000",2,2,"1,279",Condo,2020,1 space,No Data,Condo,East Bay
"$590,000",2,2,"1,052",Condo,1983,1 space,Forced air,None,East Bay
"$1,039,950",3,2,"1,347",Single Family,1963,2 spaces,Forced air,None,East Bay
"$945,000",3,1,975,Single Family,1959,2 spaces,Wall,None,East Bay
"$949,000",4,2,"1,427",Single Family,1963,2 spaces,Forced air,Central,East Bay
"$1,016,990",3,4,"2,084",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$1,194,381",4,4,"2,268",Townhouse,No Data,No Data,No Data,Townhouse,East Bay
"$1,031,019",3,3,"1,786",Townhouse,No Data,No Data,No Data,Townhouse,East Bay
"$1,100,000",3,3,"1,422",Single Family,1994,2 spaces,Forced air,Central,East Bay
"$529,888",2,1,844,Single Family,1990,1 space,"Baseboard, Forced air",Other,East Bay
"$992,880",3,3,"1,798",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$949,800",3,2,"1,455",Single Family,1964,2 spaces,No Data,No Data,East Bay
"$1,250,077",6,null,null,Single Family,1961,Detached Garage,No Data,No Data,East Bay
"$1,043,880",3,4,"1,780",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$630,000",2,2,"1,077",Condo,1990,Off street,Forced air,"Other, Wall",East Bay
"$949,000",3,3,"1,637",Townhouse,1998,2 spaces,Forced air,"Central, Other",East Bay
"$946,406",3,2,"1,479",Condo,2020,2 spaces,No Data,Condo,East Bay
"$648,000",1,1,728,Condo,2020,1 space,Forced air,Condo,East Bay
"$949,990",3,4,"2,084",Townhouse,No Data,2 spaces,No Data,Townhouse,East Bay
"$939,990",2,3,"1,439",Townhouse,2020,2 spaces,No Data,Townhouse,East Bay
"$999,618",3,2,"1,479",Condo,2020,2 spaces,No Data,Condo,East Bay
"$855,000",2,2,"1,279",Condo,2020,1 space,No Data,Condo,East Bay
"$1,173,880",4,4,"2,292",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$956,092",3,2,"1,479",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,610,363",5,4,"3,179",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$698,000",2,1,1,Single Family,1940,No Data,No Data,None,East Bay
"$1,179,880",4,4,"2,638",Townhouse,2020,No Data,No Data,Townhouse,East Bay
"$2,158,000",4,4,"2,662",Single Family,2020,2 spaces,Forced air,No Data,East Bay
"$2,199,888",5,3,"3,357",Single Family,1984,3 spaces,Forced air,"Central, Other",East Bay
"$1,998,000",4,3,"2,515",Single Family,1975,2 spaces,Forced air,"Central, Other",East Bay
"$1,014,995",2,3,"1,730",Condo,2020,No Data,No Data,Condo,East Bay
"$785,900",2,2,"1,023",Condo,2020,2 spaces,No Data,Condo,East Bay
"$2,169,900",4,5,"3,621",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,593,959",3,3,"2,140",Condo,2020,2 spaces,Heat pump,Condo,East Bay
"$629,000",2,1,900,Condo,1982,1 space,Electric,None,East Bay
"$3,500,000",5,5,"4,227",Single Family,1997,4 spaces,Forced air,Central,East Bay
"$982,595",2,2,"1,300",Condo,2020,2 spaces,No Data,Condo,East Bay
"$973,995",2,3,"1,608",Condo,2020,No Data,No Data,Condo,East Bay
null,null,null,null,null,null,null,null,null,East Bay
"$1,186,990",2,2,"1,886",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,448,000",4,2,"1,514",Single Family,1965,2 spaces,Gas,None,East Bay
"$999,000",0.26 acres,null,null,null,null,null,null,null,East Bay
"$1,562,995",4,4,"2,493",Condo,2020,No Data,No Data,Condo,East Bay
"$1,112,990",2,2,"1,725",Condo,No Data,2 spaces,Heat pump,Condo,East Bay
"$1,799,800",4,3,"2,183",Single Family,1977,2 spaces,Forced air,Central,East Bay
"$1,092,990",2,2,"1,730",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,582,990",3,4,"2,600",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,499,800",4,3,"2,100",Single Family,1977,3 spaces,Forced air,Central,East Bay
"$1,142,042",3,null,null,Townhouse,2004,Attached Garage,Forced air,Other,East Bay
"$692,348",2,null,null,Condo,1985,No Data,No Data,No Data,East Bay
"$2,200,000",125.35 acres,null,null,null,null,null,null,null,East Bay
"$799,900",2,2,"1,248",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,899,000",5,4,"2,082",Single Family,1963,2 spaces,Forced air,Central,East Bay
"$1,652,990",3,4,"2,884",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,529,995",3,3,"2,097",Condo,2020,No Data,No Data,Condo,East Bay
"$1,849,000",3,3,"2,192",Single Family,1951,2 spaces,Forced air,Central,East Bay
"$1,799,800",4,3,"2,539",Single Family,1991,3 spaces,Forced air,Central,East Bay
"$1,186,990",2,2,"1,886",Condo,2020,3 spaces,No Data,Condo,East Bay
"$1,249,000",3,3,"1,772",Single Family,2008,2 spaces,Forced air,Central,East Bay
"$1,049,800",3,2,"1,392",Townhouse,1972,2 spaces,No Data,No Data,East Bay
"$2,588,880",5,4,"4,096",Single Family,2004,3 spaces,Forced air,Central,East Bay
"$793,564",3,2,"1,154",Condo,2019,2 spaces,Forced air,Condo,East Bay
"$1,449,800",4,2,"1,810",Single Family,1967,Detached Garage,No Data,No Data,East Bay
"$8,800,000",5,7,"9,931",Single Family,2015,5 spaces,Forced air,Central,East Bay
"$1,267,990",3,2,"1,891",Condo,2020,2 spaces,No Data,Condo,East Bay
"$2,314,900",4,5,"4,021",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,184,995",3,3,"2,109",Condo,2020,No Data,No Data,Condo,East Bay
"$1,185,000",0.38 acres,null,null,null,null,null,null,null,East Bay
"$938,995",2,2,"1,235",Condo,2020,No Data,No Data,Condo,East Bay
"$2,000,000",6.99 acres,null,null,null,null,null,null,null,East Bay
"$2,999,500",5,5,"5,156",Single Family,2002,3 spaces,Forced air,Central,East Bay
"$1,103,990",2,2,"1,725",Condo,2020,2 spaces,No Data,Condo,East Bay
"$2,498,888",4,4,"3,355",Single Family,2018,2 spaces,Forced air,Central,East Bay
"$2,418,000",4,5,"3,434",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$2,528,000",5,3,"4,266",Single Family,1989,3 spaces,Forced air,Central,East Bay
"$2,478,381",3,null,null,Single Family,1983,Detached Garage,No Data,No Data,East Bay
"$699,000",2.43 acres,null,null,null,null,null,null,null,East Bay
"$1,076,990",2,2,"1,725",Condo,2019,2 spaces,No Data,Condo,East Bay
"$1,187,990",2,2,"1,688",Condo,2020,No Data,No Data,Condo,East Bay
"$1,203,990",2,2,"1,950",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,542,995",4,4,"2,453",Condo,2020,No Data,No Data,Condo,East Bay
"$1,014,995",2,3,"1,786",Condo,2020,No Data,No Data,Condo,East Bay
"$1,900,000",2.22 acres,null,null,null,null,null,null,null,East Bay
"$1,998,888",4,3,"2,974",Single Family,1979,3 spaces,Forced air,Central,East Bay
"$1,195,990",2,2,"1,688",Condo,2019,2 spaces,No Data,Condo,East Bay
"$1,611,085",--,null,null,Single Family,1978,No Data,No Data,No Data,East Bay
"$1,750,000",4,3,"1,750",Single Family,1965,Attached Garage,Forced air,Central,East Bay
"$2,450,900",4,5,"3,621",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,440,990",3,4,"2,392",Condo,2020,2 spaces,No Data,Condo,East Bay
"$799,900",2,2,"1,248",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,102,990",2,2,"1,730",Condo,2020,2 spaces,Forced air,Central,East Bay
"$1,184,995",3,3,"2,109",Condo,2020,No Data,No Data,Condo,East Bay
"$924,900",2,2,"1,248",Condo,2020,2 spaces,No Data,Condo,East Bay
"$878,995",2,2,"1,265",Condo,2020,No Data,No Data,Condo,East Bay
"$1,195,990",2,2,"1,688",Condo,No Data,2 spaces,Heat pump,Condo,East Bay
"$2,388,000",4,5,"3,373",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,628,990",3,4,"3,027",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,598,640",--,null,null,Single Family,1976,No Data,No Data,No Data,East Bay
"$1,612,141",4,5,"2,460",Condo,2020,2 spaces,Heat pump,Condo,East Bay
"$2,418,000",4,5,"3,475",Single Family,2020,2 spaces,Forced air,Central,East Bay
"$1,473,990",3,4,"2,465",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,590,990",4,4,"2,717",Condo,2020,2 spaces,No Data,Condo,East Bay
"$720,000",2,2,968,Condo,1971,1 space,Forced air,Central,East Bay
"$2,159,900",4,5,"3,895",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,059,995",2,2,"1,510",Condo,2020,No Data,No Data,Condo,East Bay
"$862,995",2,2,"1,158",Condo,2020,No Data,No Data,Condo,East Bay
"$2,338,000",4,4,"3,010",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$619,000",2,1,878,Condo,1984,Carport,Forced air,No Data,East Bay
"$2,279,800",4,4,"3,829",Single Family,1990,3 spaces,Forced air,Central,East Bay
"$1,560,000",4,4,"2,273",Single Family,2016,2 spaces,Forced air,Central,East Bay
"$2,999,999",5,5,"4,268",Single Family,1998,3 spaces,Forced air,Central,East Bay
"$1,054,995",3,2,"1,634",Condo,2020,No Data,No Data,Condo,East Bay
"$2,259,900",4,5,"3,355",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,043,995",3,2,"1,590",Condo,2020,No Data,No Data,Condo,East Bay
"$1,199,900",4,4,"1,848",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,650,000",4,2,"1,761",Single Family,1978,2 spaces,Forced air,Central,East Bay
"$3,189,933",5,null,null,Single Family,1997,Detached Garage,No Data,No Data,East Bay
"$10,860,000",6,9,"12,075",Single Family,1993,4 spaces,Forced air,Central,East Bay
"$630,242",2,2,906,Condo,2019,1 space,Forced air,Condo,East Bay
"$1,266,990",3,3,"1,880",Condo,2020,2 spaces,No Data,Condo,East Bay
"$5,169,000",6,6,"6,905",Single Family,1928,3 spaces,Forced air,"Central, Other",East Bay
"$2,159,900",4,5,"3,897",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$2,598,000",5,5,"3,450",Single Family,2020,3 spaces,Forced air,Central,East Bay
"$929,900",3,3,"1,591",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,725,000",4,3,"2,268",Single Family,2020,2 spaces,Forced air,Central,East Bay
"$2,538,888",5,4,"3,637",Single Family,2020,3 spaces,Forced air,Central,East Bay
"$2,498,888",4,3,"3,508",Single Family,1980,Attached Garage,Forced air,Central,East Bay
"$1,382,990",3,3,"2,305",Condo,2020,2 spaces,No Data,Condo,East Bay
"$2,398,000",4,5,"3,625",Single Family,2019,2 spaces,Forced air,Single Family,East Bay
"$1,391,995",3,3,"1,888",Condo,2020,No Data,No Data,Condo,East Bay
"$2,178,000",4,4,"2,662",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,977,476",4,3,"2,946",Single Family,1985,Attached Garage,No Data,No Data,East Bay
"$1,014,995",2,3,"1,786",Condo,2020,No Data,No Data,Condo,East Bay
"$1,208,490",2,2,"1,680",Condo,2020,2 spaces,Heat pump,Central,East Bay
"$775,888",2,2,"1,081",Condo,2009,1 space,Forced air,Central,East Bay
"$734,900",2,2,"1,085",Condo,2019,1 space,Forced air,Condo,East Bay
"$4,288,888",9,5,"6,100",Single Family,1850,2 spaces,Forced air,Wall,East Bay
"$817,040",3,3,"1,356",Condo,2019,2 spaces,Forced air,Condo,East Bay
"$1,922,920",4,3,"2,511",Single Family,1979,2 spaces,No Data,No Data,East Bay
"$788,000",3,2,"1,150",Condo,1986,1 space,Forced air,None,East Bay
"$1,097,990",2,2,"1,678",Condo,2020,2 spaces,No Data,Condo,East Bay
"$2,158,000",4,4,"2,747",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$1,150,000",3,2,"1,270",Single Family,1904,2 spaces,Forced air,Central,East Bay
"$995,995",2,2,"1,786",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,549,995",3,3,"2,135",Condo,2020,No Data,No Data,Condo,East Bay
"$1,474,966",3,3,"1,890",Condo,2020,2 spaces,No Data,Condo,East Bay
"$1,807,846",4,null,null,Single Family,2005,Detached Garage,No Data,No Data,East Bay
"$1,371,995",3,3,"1,847",Condo,2020,No Data,No Data,Condo,East Bay
"$583,577",1,1,865,Condo,2019,1 space,Forced air,Condo,East Bay
"$2,598,000",5,5,"3,450",Single Family,2020,3 spaces,Forced air,Single Family,East Bay
"$1,472,832",4,null,null,Condo,2014,Detached Garage,No Data,No Data,East Bay
"$3,000,000",5,4,"4,402",Single Family,1998,3 spaces,Forced air,Central,East Bay
"$518,000",2,3,"1,270",Townhouse,1973,1 space,Forced air,None,East Bay
"$679,000",2,2,"1,488",Single Family,1953,2 spaces,Forced air,Wall,East Bay
"$349,000",1,1,520,Single Family,1922,No Data,Gas,Central,East Bay
"$742,011",3,null,null,Condo,2013,Detached Garage,No Data,No Data,East Bay
"$219,000",1.1 acres,null,null,null,null,null,null,null,East Bay
"$699,999",3,3,"1,560",Single Family,1998,Attached Garage,Forced air,Central,East Bay
"$738,312",3,null,null,Single Family,1956,Detached Garage,No Data,No Data,East Bay
"$445,000",2,2,914,Condo,1994,2 spaces,Forced air,Central,East Bay
"$559,042",2,null,null,Condo,1994,Detached Garage,No Data,No Data,East Bay
"$448,000",3,3,"1,952",Single Family,1959,Attached Garage,No Data,None,East Bay
null,2,1,"1,080",Single Family,1912,Carport,No Data,None,East Bay
"$603,300",3,3,"1,533",Single Family,1963,2 spaces,No Data,Other,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$699,000",3,2,"1,365",Single Family,1915,Detached Garage,Other,None,East Bay
"$680,664",4,3,"1,408",Single Family,1950,Attached Garage,Forced air,None,East Bay
"$1,200,000",4,3,"2,752",Single Family,1986,2 spaces,Forced air,None,East Bay
"$738,126",3,3,"1,547",Single Family,1953,Attached Garage,Forced air,Other,East Bay
"$749,888",3,3,"1,582",Townhouse,1972,2 spaces,Forced air,Central,East Bay
"$703,987",4,null,null,Single Family,1906,Detached Garage,No Data,No Data,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$647,728",3,null,null,Single Family,1951,Detached Garage,No Data,No Data,East Bay
"$820,000",3,3,"2,462",Single Family,1947,Detached Garage,"Forced air, Wall","Central, Other",East Bay
"$338,000",1,null,null,Condo,1974,No Data,No Data,Wall,East Bay
"$599,000",3,3,"1,598",Townhouse,1972,2 spaces,Forced air,Central,East Bay
"$1,199,000",5,3,"2,500",Single Family,1905,No Data,No Data,No Data,East Bay
"$575,683",2,null,null,Single Family,1922,Detached Garage,No Data,No Data,East Bay
"$670,283",2,null,null,Single Family,1951,Detached Garage,No Data,No Data,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$584,482",1,1,853,Single Family,1924,Detached Garage,Gas,Central,East Bay
"$633,849",3,null,null,Single Family,1952,Detached Garage,No Data,No Data,East Bay
"$499,000",2,3,"1,129",Townhouse,1972,2 spaces,Forced air,None,East Bay
"$693,719",3,null,null,Single Family,1964,Detached Garage,No Data,No Data,East Bay
"$550,000",2,1,"1,063",Single Family,1929,2 spaces,Wall,Other,East Bay
"$635,000",3,2,"1,700",Condo,2004,2 spaces,Forced air,Central,East Bay
"$942,990",5,4,"2,461",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$179,900","4,277 sqft",null,null,null,null,null,null,null,East Bay
"$988,000",4,3,"2,682",Single Family,1992,3 spaces,Baseboard,No Data,East Bay
"$625,238",3,null,null,Single Family,1950,No Data,No Data,No Data,East Bay
"$149,000","6,529 sqft",null,null,null,null,null,null,null,East Bay
"$433,680",2,null,null,Condo,1980,No Data,No Data,No Data,East Bay
"$799,000",3,1,"1,292",Single Family,1930,Detached Garage,Wall,None,East Bay
"$628,734",3,null,null,Single Family,1952,Detached Garage,No Data,No Data,East Bay
"$832,990",3,4,"1,922",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$645,837",2,null,null,Single Family,1952,2 spaces,Other,No Data,East Bay
"$589,500",2,3,"1,221",Townhouse,2004,Attached Garage,Forced air,Other,East Bay
"$999,000",3,1,"1,450",Single Family,1939,2 spaces,Wall,None,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$649,000",4,4,"1,375",Townhouse,2001,2 spaces,Forced air,Central,East Bay
"$569,000",1.38 acres,null,null,null,null,null,null,null,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$995,000",4,3,"2,442",Single Family,1980,2 spaces,Forced air,No Data,East Bay
"$856,296",3,4,"2,009",Single Family,No Data,2 spaces,No Data,Single Family,East Bay
"$942,990",5,4,"2,461",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$887,606",3,null,null,Single Family,1958,Detached Garage,No Data,No Data,East Bay
"$985,000",4,3,"2,570",Single Family,2017,2 spaces,Forced air,Central,East Bay
"$855,495",3,3,"2,035",Single Family,1980,Detached Garage,No Data,No Data,East Bay
"$548,936",2,null,null,Single Family,1950,Attached Garage,Forced air,None,East Bay
"$811,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$661,083",4,null,null,Single Family,1950,No Data,No Data,No Data,East Bay
"$816,990",3,4,"2,009",Single Family,2020,2 spaces,No Data,Single Family,East Bay
"$778,333",4,null,null,Condo,1990,Detached Garage,No Data,No Data,East Bay
